time,x,y,z
0.807,0.02,-0.02,0.03
0.808,-0.01,0.01,0.02
0.809,0.03,0.02,0.03
0.813,-0.01,0.01,0.02
0.818,0.02,0.01,0.02
0.835,0.01,0.01,0.02
0.836,0.04,-0.01,0.03
0.837,-0.00,0.01,0.03
0.838,0.04,-0.01,0.03
0.839,-0.03,-0.01,0.02
0.844,-0.01,0.00,0.03
0.848,-0.00,-0.00,0.02
0.867,-0.01,-0.00,0.02
0.870,-0.01,-0.01,0.03
0.872,-0.01,-0.01,0.02
0.873,0.00,0.02,0.04
0.874,0.01,0.01,0.03
0.875,-0.01,-0.01,0.03
0.895,0.01,0.01,0.01
0.901,0.01,0.00,0.03
0.901,0.02,0.01,0.04
0.902,0.00,0.01,0.03
0.903,-0.00,0.01,0.03
0.904,0.01,0.00,0.03
0.920,0.01,0.00,0.03
0.922,-0.02,-0.00,0.03
0.924,0.00,-0.03,0.03
0.925,-0.02,-0.01,0.04
0.925,0.01,-0.02,0.03
0.928,-0.01,-0.00,0.03
0.932,0.02,-0.01,0.02
0.951,0.01,-0.00,0.05
0.954,0.01,0.01,0.03
0.954,-0.03,-0.01,0.04
0.955,0.01,-0.01,0.03
0.955,-0.03,-0.01,0.02
0.959,-0.00,0.01,0.02
0.963,0.02,0.01,0.02
0.968,0.01,-0.00,0.04
0.982,-0.00,-0.02,0.02
0.983,-0.01,-0.01,0.04
0.984,0.02,-0.00,0.03
1.016,0.02,-0.01,0.03
1.018,0.03,-0.00,0.03
1.019,-0.01,0.00,0.02
1.021,0.02,-0.01,0.02
1.022,0.01,-0.01,0.02
1.022,0.03,0.00,0.03
1.023,0.01,0.01,0.02
1.024,-0.01,0.00,0.01
1.025,0.01,0.00,0.02
1.051,-0.02,0.00,0.02
1.053,-0.01,-0.00,0.02
1.054,0.03,-0.01,0.02
1.055,-0.01,0.00,0.02
1.056,-0.03,0.01,0.02
1.056,-0.02,0.01,0.02
1.057,-0.04,-0.01,0.02
1.058,-0.03,-0.01,0.02
1.072,-0.02,-0.00,0.01
1.073,0.00,0.02,-0.00
1.074,0.01,0.01,0.01
1.075,0.01,0.01,0.00
1.079,-0.00,0.00,0.01
1.082,0.01,0.00,0.01
1.102,-0.01,-0.01,0.01
1.104,0.01,-0.02,0.01
1.105,0.01,-0.00,-0.00
1.106,-0.01,-0.00,0.01
1.107,-0.01,-0.01,0.00
1.109,0.03,0.00,-0.01
1.113,-0.01,0.01,0.00
1.118,0.00,-0.01,-0.00
1.128,0.01,-0.01,0.00
1.131,0.04,0.01,0.00
1.131,-0.01,-0.00,-0.00
1.136,0.01,0.02,-0.00
1.151,-0.00,-0.00,-0.00
1.154,-0.00,-0.00,-0.01
1.155,0.00,0.01,-0.01
1.156,0.01,0.01,-0.02
1.157,0.01,0.01,-0.01
1.179,0.02,0.00,-0.01
1.180,-0.01,0.00,-0.02
1.181,0.00,-0.01,-0.01
1.182,-0.02,-0.01,-0.01
1.182,-0.01,0.00,-0.01
1.185,0.02,-0.01,-0.02
1.199,0.01,-0.02,-0.01
1.204,-0.02,-0.00,-0.01
1.205,-0.01,0.02,-0.02
1.206,0.02,0.03,-0.03
1.209,0.01,0.01,-0.03
1.210,0.01,-0.01,-0.03
1.229,0.00,-0.01,-0.02
1.232,-0.01,-0.02,-0.02
1.233,-0.00,-0.01,-0.02
1.234,-0.02,-0.01,-0.03
1.235,-0.01,-0.02,-0.02
1.238,-0.02,-0.00,-0.02
1.251,-0.03,0.02,-0.02
1.252,-0.01,0.00,-0.02
1.256,0.03,-0.01,-0.03
1.257,0.01,0.00,-0.03
1.289,-0.00,0.00,-0.03
1.290,0.01,-0.01,-0.03
1.291,0.01,0.02,-0.03
1.292,-0.02,0.00,-0.02
1.293,-0.01,0.00,-0.02
1.293,-0.04,-0.00,-0.03
1.295,-0.02,0.00,-0.04
1.296,0.00,-0.01,-0.01
1.297,-0.01,-0.01,-0.02
1.299,-0.00,0.01,-0.02
1.303,0.00,-0.01,-0.02
1.321,0.03,0.01,-0.02
1.322,-0.03,-0.01,-0.03
1.323,0.01,-0.01,-0.01
1.324,-0.04,0.01,-0.01
1.333,0.02,-0.00,-0.02
1.334,0.01,0.01,-0.01
1.348,-0.02,0.01,-0.02
1.349,0.00,-0.01,-0.01
1.350,-0.04,0.02,-0.02
1.351,0.01,-0.00,-0.00
1.353,-0.02,0.02,-0.01
1.356,-0.01,0.00,-0.01
1.365,-0.00,0.00,-0.02
1.366,-0.00,0.01,-0.02
1.369,-0.03,-0.02,-0.02
1.411,0.01,0.00,-0.01
1.412,-0.01,-0.01,-0.02
1.413,-0.01,0.00,-0.02
1.413,0.02,0.01,-0.01
1.414,0.02,-0.01,-0.02
1.416,0.01,0.01,-0.02
1.416,-0.01,0.00,-0.01
1.417,-0.01,0.00,-0.03
1.417,0.05,0.01,-0.02
1.418,0.00,-0.01,-0.02
1.419,0.00,-0.00,-0.01
1.448,0.00,-0.00,-0.01
1.450,-0.00,0.01,-0.01
1.450,0.03,-0.01,-0.02
1.451,0.03,-0.01,-0.00
1.452,-0.01,0.00,-0.01
1.452,0.02,-0.01,-0.01
1.454,0.01,-0.01,-0.01
1.456,0.02,0.00,-0.01
1.466,0.02,-0.01,-0.02
1.467,0.00,-0.01,-0.01
1.468,-0.00,-0.01,-0.01
1.472,-0.03,-0.01,-0.01
1.508,0.02,0.01,-0.02
1.509,0.02,-0.00,-0.01
1.509,0.01,-0.01,-0.00
1.510,0.03,0.01,0.01
1.512,0.03,-0.02,-0.00
1.513,-0.02,-0.02,-0.01
1.515,-0.02,-0.00,-0.01
1.516,0.02,0.03,-0.00
1.516,-0.02,0.01,-0.01
1.518,-0.01,-0.01,-0.00
1.520,0.02,-0.00,0.01
1.536,-0.01,-0.00,-0.00
1.539,-0.01,0.03,0.00
1.539,-0.00,-0.01,-0.02
1.540,-0.01,0.01,0.00
1.559,0.01,-0.02,-0.00
1.565,-0.01,0.02,-0.00
1.566,-0.01,0.01,0.01
1.567,0.01,0.01,0.01
1.568,0.01,-0.01,0.00
1.569,-0.01,0.01,0.00
1.570,0.01,0.02,0.01
1.592,-0.01,0.01,-0.00
1.593,0.02,-0.00,0.00
1.594,0.02,0.00,0.01
1.595,-0.01,0.01,0.01
1.596,0.02,0.01,-0.00
1.597,-0.02,0.02,-0.00
1.600,-0.02,0.00,0.00
1.604,-0.00,0.01,0.01
1.623,-0.01,0.00,0.00
1.625,-0.02,0.01,0.02
1.626,0.01,0.01,0.01
1.627,0.02,0.02,0.01
1.628,-0.01,0.00,0.00
1.631,-0.01,0.00,0.01
1.650,0.02,0.02,0.02
1.651,-0.01,-0.01,0.01
1.652,0.01,0.01,0.01
1.653,-0.01,-0.01,0.01
1.655,-0.00,-0.01,0.01
1.660,-0.01,0.02,0.01
1.663,-0.02,0.01,0.01
1.686,0.01,0.01,0.01
1.686,-0.02,-0.01,0.02
1.687,-0.03,0.01,0.01
1.688,0.02,-0.01,0.01
1.688,0.02,0.01,0.02
1.689,-0.00,0.01,0.01
1.700,-0.02,-0.02,0.02
1.701,0.00,0.00,0.02
1.702,0.01,-0.02,0.03
1.706,-0.02,-0.01,0.01
1.735,0.00,-0.00,0.02
1.736,-0.00,-0.01,0.02
1.737,-0.01,0.01,0.01
1.738,0.03,-0.03,0.02
1.740,0.03,0.01,0.01
1.741,0.00,0.01,0.01
1.741,0.03,0.00,0.01
1.742,0.01,-0.00,0.01
1.770,0.02,-0.01,0.02
1.773,-0.01,0.01,0.00
1.774,-0.00,0.01,0.01
1.776,0.00,-0.02,0.01
1.777,0.01,-0.00,0.01
1.782,-0.02,0.00,0.01
1.783,0.03,-0.00,0.01
1.784,-0.03,-0.02,0.02
1.785,0.01,-0.00,0.02
1.786,0.02,-0.01,0.01
1.802,-0.00,0.00,0.02
1.803,-0.01,-0.00,0.01
1.804,-0.01,-0.01,0.01
1.805,-0.03,0.00,0.02
1.807,0.01,-0.01,0.01
1.835,0.01,0.01,0.02
1.836,0.01,0.01,0.01
1.837,-0.01,0.01,0.01
1.837,-0.03,0.02,-0.00
1.839,0.03,0.00,0.02
1.839,-0.00,0.01,0.02
1.840,-0.02,0.01,0.02
1.859,0.01,0.01,0.02
1.860,0.01,0.02,0.01
1.861,-0.02,0.01,0.00
1.862,0.00,0.00,0.02
1.865,0.00,0.00,0.02
1.866,0.01,0.02,0.01
1.870,0.00,0.01,0.02
1.874,-0.02,0.02,0.00
1.891,0.03,-0.02,0.02
1.892,-0.00,0.01,0.01
1.893,-0.01,-0.00,0.01
1.894,-0.02,-0.01,0.01
1.895,0.01,-0.00,0.01
1.923,0.01,0.01,0.02
1.925,-0.01,0.01,0.01
1.926,0.01,-0.01,0.03
1.927,-0.01,-0.02,0.02
1.928,-0.03,-0.01,0.01
1.928,0.00,-0.00,-0.00
1.930,-0.00,0.01,0.03
1.931,0.01,-0.01,0.01
1.945,-0.01,-0.01,0.00
1.947,-0.01,-0.00,0.01
1.948,0.02,0.00,0.02
1.950,0.01,0.00,0.02
1.953,0.02,-0.02,0.02
1.958,0.01,0.00,0.02
1.978,-0.01,-0.01,0.02
1.981,0.01,0.01,0.00
1.982,0.00,-0.00,0.01
1.983,0.01,0.00,0.02
1.984,-0.00,-0.02,0.01
1.984,0.03,-0.02,0.02
1.989,-0.01,0.02,0.00
1.993,0.03,0.00,0.00
2.005,-0.01,-0.00,0.01
2.006,0.00,-0.01,0.02
2.008,-0.03,0.00,0.00
2.012,0.01,-0.00,0.01
2.032,0.02,0.01,0.00
